,0
motor,29.05802479094404
electr,19.902523459976877
mechan,12.322517544567232
magnet,11.444126267107631
field,10.315338388319754
energi,9.396883654647628
torqu,6.417164098841116
gener,6.240884891506008
current,6.135718318948133
power,5.959439111613024
speed,5.413574520717377
rotat,5.132128740824393
direct,5.132128740824393
convert,5.006930440160254
conductor,4.054421768707482
type,4.054421768707482
forc,3.491530208921513
rotor,3.386363636363636
stator,3.386363636363636
output,3.2611653356994967
devic,3.1559987631416195
differ,3.1559987631416195
ac,2.874552983248635
interact,2.6441881100266187
applic,2.4679089026915113
use,2.362742330133634
synchron,2.2575757575757573
regul,2.027210884353741
util,2.027210884353741
typic,2.027210884353741
detail,2.027210884353741
includ,2.027210884353741
phenomena,2.027210884353741
control,2.027210884353741
electromagnet,2.027210884353741
vari,2.027210884353741
angl,2.027210884353741
posit,2.027210884353741
outlin,2.027210884353741
arrang,2.027210884353741
primari,2.027210884353741
carri,2.027210884353741
right,2.027210884353741
sourc,1.8509316770186335
wind,1.7457651044607565
wire,1.7457651044607565
appli,1.7457651044607565
movement,1.7457651044607565
dc,1.7457651044607565
form,1.7457651044607565
revers,1.2339544513457557
industri,1.2339544513457557
tool,1.2339544513457557
motion,1.2339544513457557
oper,1.2339544513457557
distanc,1.2339544513457557
linear,1.2339544513457557
machin,1.2339544513457557
line,1.1287878787878787
accord,1.1287878787878787
principl,1.1287878787878787
electrifi,1.1287878787878787
close,1.1287878787878787
relat,1.1287878787878787
divid,1.1287878787878787
system,1.1287878787878787
squirrelcag,1.1287878787878787
compos,1.1287878787878787
aluminum,1.1287878787878787
action,1.1287878787878787
energ,1.1287878787878787
suppli,1.1287878787878787
mainli,1.1287878787878787
work,1.1287878787878787
magnetoelectr,1.1287878787878787
induct,1.1287878787878787
coil,1.1287878787878787
frame,1.1287878787878787
maintain,1.1287878787878787
asynchron,1.1287878787878787
small,0.6169772256728778
limit,0.6169772256728778
signific,0.6169772256728778
aircool,0.6169772256728778
ident,0.6169772256728778
propuls,0.6169772256728778
ship,0.6169772256728778
shaft,0.6169772256728778
otherwis,0.6169772256728778
consider,0.6169772256728778
might,0.6169772256728778
altern,0.6169772256728778
exceed,0.6169772256728778
rectifi,0.6169772256728778
drive,0.6169772256728778
household,0.6169772256728778
brush,0.6169772256728778
rotari,0.6169772256728778
grid,0.6169772256728778
liquidcool,0.6169772256728778
